overlap_at_21,safe_coef,beta_attack_coef,late_layer_prior_coef,selected_count,selected_layers
4,6.0,4.0,0.0002,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,6.0,4.0,0.0005,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 19: 1, 2: 1, 28: 1}"
4,6.0,4.0,0.001,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 28: 1, 19: 1, 2: 1}"
4,6.0,4.0,0.002,21,"{29: 4, 3: 1, 31: 7, 30: 7, 25: 1, 28: 1}"
4,6.0,4.0,0.005,21,"{29: 4, 31: 7, 3: 1, 30: 7, 25: 1, 28: 1}"
4,8.0,6.0,0.0,21,"{29: 3, 3: 1, 31: 6, 30: 7, 2: 1, 19: 1, 25: 1, 28: 1}"
4,8.0,6.0,1e-05,21,"{29: 3, 3: 1, 31: 6, 30: 7, 2: 1, 19: 1, 25: 1, 28: 1}"
4,8.0,6.0,2e-05,21,"{29: 3, 3: 1, 31: 6, 30: 7, 2: 1, 19: 1, 25: 1, 28: 1}"
4,8.0,6.0,5e-05,21,"{29: 3, 3: 1, 31: 6, 30: 7, 2: 1, 19: 1, 25: 1, 28: 1}"
4,8.0,6.0,0.0001,21,"{29: 3, 3: 1, 31: 6, 30: 7, 19: 1, 2: 1, 25: 1, 28: 1}"
4,8.0,6.0,0.0002,21,"{29: 3, 3: 1, 31: 6, 30: 7, 19: 1, 2: 1, 25: 1, 28: 1}"
4,8.0,6.0,0.0005,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,8.0,6.0,0.001,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 25: 1, 2: 1}"
4,8.0,6.0,0.002,21,"{29: 4, 3: 1, 31: 6, 30: 8, 19: 1, 25: 1}"
4,8.0,6.0,0.005,21,"{29: 4, 31: 7, 3: 1, 30: 8, 25: 1}"
3,0.5,1.25,0.0,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 2: 1, 27: 1, 25: 1, 28: 1}"
3,0.5,1.25,1e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 2: 1, 27: 1, 25: 1, 28: 1}"
